route_id,forecast_timestamp,forecast_volume_m3,vehicles_needed,utilization_rate,priority,call_recommended,lead_time_minutes,call_by_timestamp,estimated_total_cost,potential_savings,model_confidence
12.0,2025-05-30 11:00:00,76.15,1,0.952,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
35.0,2025-05-30 11:00:00,72.05,1,0.901,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
79.0,2025-05-30 11:00:00,288.02,4,0.6,HIGH,True,90,2025-05-30 09:30:00,30000,7500,0.85
95.0,2025-05-30 11:00:00,147.54,2,0.844,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
105.0,2025-05-30 11:00:00,155.19,2,0.94,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
106.0,2025-05-30 11:00:00,74.17,1,0.927,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
109.0,2025-05-30 11:00:00,156.12,2,0.951,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
116.0,2025-05-30 11:00:00,78.21,1,0.978,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
132.0,2025-05-30 11:00:00,144.19,2,0.802,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
162.0,2025-05-30 11:00:00,218.45,3,0.731,HIGH,True,90,2025-05-30 09:30:00,22500,7500,0.85
167.0,2025-05-30 11:00:00,78.5,1,0.981,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
196.0,2025-05-30 11:00:00,218.66,3,0.733,HIGH,True,90,2025-05-30 09:30:00,22500,7500,0.85
209.0,2025-05-30 11:00:00,79.07,1,0.988,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
219.0,2025-05-30 11:00:00,157.56,2,0.969,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
221.0,2025-05-30 11:00:00,159.32,2,0.992,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
240.0,2025-05-30 11:00:00,72.94,1,0.912,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
261.0,2025-05-30 11:00:00,74.81,1,0.935,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
292.0,2025-05-30 11:00:00,75.71,1,0.946,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
307.0,2025-05-30 11:00:00,74.79,1,0.935,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
330.0,2025-05-30 11:00:00,152.4,2,0.905,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
356.0,2025-05-30 11:00:00,156.64,2,0.958,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
357.0,2025-05-30 11:00:00,74.19,1,0.927,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
359.0,2025-05-30 11:00:00,77.8,1,0.973,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
360.0,2025-05-30 11:00:00,159.52,2,0.994,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
366.0,2025-05-30 11:00:00,78.73,1,0.984,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
367.0,2025-05-30 11:00:00,146.07,2,0.826,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
368.0,2025-05-30 11:00:00,146.1,2,0.826,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
374.0,2025-05-30 11:00:00,77.54,1,0.969,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
385.0,2025-05-30 11:00:00,155.4,2,0.942,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
391.0,2025-05-30 11:00:00,150.94,2,0.887,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
401.0,2025-05-30 11:00:00,144.96,2,0.812,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
417.0,2025-05-30 11:00:00,75.77,1,0.947,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
424.0,2025-05-30 11:00:00,150.65,2,0.883,HIGH,True,90,2025-05-30 09:30:00,15000,7500,0.85
426.0,2025-05-30 11:00:00,76.95,1,0.962,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
435.0,2025-05-30 11:00:00,78.46,1,0.981,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
436.0,2025-05-30 11:00:00,73.21,1,0.915,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
476.0,2025-05-30 11:00:00,74.88,1,0.936,HIGH,True,90,2025-05-30 09:30:00,7500,7500,0.85
